country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Greece,2018,0.29,720.0,0.017,32.0
Spain,2016,0.29,9300.0,0.04,3660.0
Slovenia,2019,0.29,,,
Denmark,2013,0.28,1514.0,0.068,1046.0
Malaysia,2021,0.28,8630.0,0.077,300.0
Norway,2010,0.28,2702.0,0.12,2800.0
Israel,2012,0.27,611.0,0.03,
Poland,2018,0.26,3728.0,0.021,600.0
Australia,2017,0.25,7300.0,0.052,480.0
Denmark,2011,0.25,500.0,0.023,
Italy,2017,0.25,13411.0,0.034,2860.0
Latvia,2016,0.24,,,
Latvia,2017,0.24,,,
Germany,2013,0.23,12200.0,0.028,2447.0
Switzerland,2012,0.23,1180.0,0.028,404.0
Canada,2013,0.22,5505.0,0.027,1207.0
Costa Rica,2016,0.22,119.0,0.013,
Greece,2017,0.22,410.0,0.0096,22.0
Poland,2017,0.22,3114.0,0.014,453.0
Russia,2023,0.22,9900.0,0.022,10500.0
Korea,2015,0.22,6062.0,0.033,1640.0
Lithuania,2015,0.22,,,
Slovakia,2017,0.22,,,
Finland,2013,0.21,470.0,0.016,267.0
Israel,2013,0.21,1018.0,0.049,
Turkiye,2020,0.21,3900.0,0.035,1261.0
Austria,2013,0.2,2510.0,0.053,
Chile,2020,0.2,840.0,0.022,339.0
Portugal,2014,0.2,1346.0,0.029,1217.0
Spain,2015,0.2,5700.0,0.026,1640.0
Lithuania,2017,0.2,,,
Australia,2015,0.19,3600.0,0.027,
Belgium,2012,0.19,1181.0,0.022,
Spain,2014,0.19,3620.0,0.016,910.0
Cyprus,2019,0.19,,,
Latvia,2015,0.19,,,
Estonia,2017,0.18,,,
Romania,2017,0.18,,,
Finland,2012,0.17,240.0,0.008,
Portugal,2013,0.17,1137.0,0.027,1217.0
Rest of the world,2018,0.17,36012.0,0.03,
South Africa,2022,0.17,2223.0,0.028,330.0
Hungary,2015,0.17,,,
Brazil,2020,0.16,5400.0,0.017,405.0
Netherlands,2011,0.16,1126.0,0.015,400.0
United Kingdom,2013,0.16,8200.0,0.027,5480.0
Estonia,2015,0.16,,,
Australia,2014,0.15,1880.0,0.014,
Australia,2016,0.15,5000.0,0.037,
Italy,2016,0.15,8511.0,0.022,2470.0
Mexico,2018,0.15,4030.0,0.02,1176.0
Mexico,2019,0.15,5600.0,0.028,1176.0
USA,2011,0.15,22000.0,0.0099,3900.0
Estonia,2016,0.15,,,
Seychelles,2015,0.15,,,
Canada,2012,0.14,2435.0,0.013,722.0
Chile,2019,0.14,650.0,0.017,172.0
Italy,2015,0.14,5711.0,0.015,1770.0
Malaysia,2020,0.14,7340.0,0.067,
Switzerland,2011,0.14,441.0,0.01,
Czech Republic,2017,0.14,,,
Russia,2021,0.13,6700.0,0.015,4700.0
Russia,2022,0.13,7400.0,0.017,5400.0
United Kingdom,2012,0.13,5090.0,0.017,2800.0
Czech Republic,2015,0.13,,,
France,2011,0.12,2996.0,0.0095,
Greece,2016,0.12,218.0,0.005,15.0
India,2020,0.12,12050.0,0.029,3230.0
Indonesia,2021,0.12,1761.0,0.015,184.0
Poland,2016,0.12,2600.0,0.017,302.0
Spain,2013,0.12,1890.0,0.0086,891.0
Belgium,2013,0.11,1791.0,0.033,377.0
Germany,2012,0.11,5300.0,0.012,1518.0
